Algoritmo,Configuracion,Run,Bandgap (Hz),Max Stress (MPa),Volumen,Tiempo (s)
MS-MBPSO,Homogeneo S1,8,839.347703403881,17.845582786983982,0.45367187500000006,49.78587198257446
MS-MBPSO,Homogeneo S1,9,1327.5650265014297,66.96149595946812,0.45367187500000006,44.765355825424194
MS-MBPSO,Homogeneo S2,0,803.692587458464,22.64889229195904,0.45367187499999995,41.45902490615845
MS-MBPSO,Homogeneo S2,1,828.0283769845094,67.42251253380569,0.453671875,31.980020761489868
MS-MBPSO,Homogeneo S2,2,450.08625630687675,117.9289843802138,0.4380625000000001,31.020840167999268
MS-MBPSO,Homogeneo S2,3,897.190175720745,19.927039165009266,0.46928125,36.91391205787659
MS-MBPSO,Homogeneo S2,4,838.3099885122103,136.21346211091952,0.4380625000000001,35.00198674201965
MS-MBPSO,Homogeneo S2,5,722.5923627998301,3.0580835820232757,0.45367187500000006,34.97281742095947
MS-MBPSO,Homogeneo S2,6,612.1051265814299,21.777853002242235,0.453671875,50.02787113189697
MS-MBPSO,Homogeneo S2,7,985.7109023200353,19.48839102731576,0.45367187500000006,34.68599486351013
MS-MBPSO,Homogeneo S2,8,839.347703195933,17.8455827870951,0.45367187500000006,39.02020192146301
MS-MBPSO,Homogeneo S2,9,1327.5650265014299,66.96150175952624,0.45367187500000006,44.58800649642944
MS-MBPSO,Heterogeneo S1+S2,0,112.2771170242429,122.84704200375825,0.45367187500000006,0.6226568222045898
MS-MBPSO,Heterogeneo S1+S2,1,828.0283769845105,67.42251463333528,0.453671875,0.6528642177581787
MS-MBPSO,Heterogeneo S1+S2,2,357.5053379903394,47.78213662292569,0.4380625,0.6891613006591797
MS-MBPSO,Heterogeneo S1+S2,3,897.1901757207424,19.927039163650953,0.46928125,0.7496621608734131
MS-MBPSO,Heterogeneo S1+S2,4,838.3099885539227,136.21346265347015,0.4380625000000001,0.6287710666656494
MS-MBPSO,Heterogeneo S1+S2,5,840.6922770313436,4.6185914405950195,0.4380625,0.6192164421081543
MS-MBPSO,Heterogeneo S1+S2,6,317.1395594570338,5.855273338598555,0.45367187499999995,0.5892670154571533
MS-MBPSO,Heterogeneo S1+S2,7,985.7109023200373,19.488391026477128,0.45367187500000006,0.6534421443939209
MS-MBPSO,Heterogeneo S1+S2,8,378.9841417089865,15.422286063720094,0.4380625,0.630824089050293
MS-MBPSO,Heterogeneo S1+S2,9,795.4944962846765,2.8890301677073325,0.4380625,0.5960860252380371
MS-MBPSO,Secuencial S1 (Bottleneck),0,803.6925874584642,22.64889231480162,0.45367187499999995,20.332791566848755
MS-MBPSO,Secuencial S1 (Bottleneck),1,828.0283769845105,67.42249066030985,0.453671875,17.91436243057251
MS-MBPSO,Secuencial S1 (Bottleneck),2,450.0862558750449,117.9289670777176,0.4380625000000001,19.052385330200195
MS-MBPSO,Secuencial S1 (Bottleneck),3,897.1901757207424,19.927039163679368,0.46928125,21.403623580932617
MS-MBPSO,Secuencial S1 (Bottleneck),4,838.3099890160483,136.2134623891076,0.4380625000000001,21.801734447479248
MS-MBPSO,Secuencial S1 (Bottleneck),5,722.5923628511885,3.0580835819033934,0.45367187500000006,18.080585956573486
MS-MBPSO,Secuencial S1 (Bottleneck),6,612.1051268586314,21.777853002332613,0.453671875,20.684792041778564
MS-MBPSO,Secuencial S1 (Bottleneck),7,985.7109023200373,19.48839102711056,0.45367187500000006,21.037983894348145
